full_text,fold,label_1,label_2,label_3,majority_vote,tie_break,gold_label
"Πιστεύω πως τα θέματα παιδεραστίας πρέπει να αντιμετωπιστούν πολύ πιο σκληρά από τη νομοθεσία. 
Αυτή είναι η προσωπική μου άποψη. 
Το αδίκημα της παιδεραστίας είναι ένα από τα εφιαλτικότερα εγκλήματα τα οποία αντιμετωπίζουμε. #Mega",2,-1,-1,-1,-1,,-1
"Κλείνουμε, επίσης, οριστικά το ζήτημα των αποζημιώσεων που διεκδικούσε η Ελληνικός Χρυσός από το Δημόσιο, οι οποίες ανέρχονται σε περισσότερα από 800 εκατομμύρια ευρώ λόγω των χειρισμών της προηγούμενης κυβέρνησης. (3/3)",3,-1,0,0,0,,0
"Καλημέρα. Σε λίγο η ομιλία μου στην ολομέλεια του Ελληνικού Κοινοβουλίου🇬🇷 για το εργασιακό νομοσχέδιο του Υπουργείου Εργασίας και Κοινωνικών Υποθέσεων  #marilenasoukouli #Υπουργείο_Εργασίας #korinthia #Βουλή🇬🇷 
Μπορείτε να την παρακολουθήσετε live εδώ: https://t.co/XFXef5qBaD https://t.co/yKyCvKUsgS",1,0,0,0,0,,0
Marfin: Δύο εμπρησμοί δείχνουν τους δράστες του φρικτού εγκλήματος https://t.co/2vpGgBruDl via @MeaCulpagr,0,-1,-1,-1,-1,,-1
@00efta @kanekos69 Για το κάλεσμα μίλησα όχι επί παντός επιστητού.,0,-1,0,0,0,,0
"Η σημερινή μας συζήτηση με τον Γιώργο Παπαδάκη στην τηλεόραση του @AntennaTV 
https://t.co/6BT4o30amt",1,0,0,0,0,,0
"Το 2020 πραγματοποιήσαμε μεταρρυθμίσεις στην Παιδεία από τη βάση προς την κορυφή της. Και συνεχίζουμε, με στόχο να εξασφαλίσουμε στα παιδιά μας περισσότερα και καλύτερα εφόδια για το παρόν και το μέλλον. Διαβάστε το άρθρο μου στα Παραπολιτικά εδώ: https://t.co/HHfeijkOSQ https://t.co/L9tlGJTJqj",3,0,1,1,1,,1
"Η επίθεση στον @AdonisGeorgiadi από τον @syriza_gr είναι το αποκορύφωμα της πρόκλησης. Αυτοί που έχουν καλέσει σε 151 διαδηλώσεις μέσα στην καραντίνα ξαφνικά ανακάλυψαν τη δημόσια υγεία. Απροκάλυπτα υποκριτές, γνήσιοι Συριζαίοι.",3,-1,-1,-1,-1,,-1
"Κάποτε γιορτάζαμε έτσι!
σ.σ. Αυθεντική εορταστική φωτογραφία, στην πλατεία Συντάγματος από μεγάλη συνέντευξή μου στο περιοδικό ""VOTRE BEAUTÉ"". https://t.co/NYWfdwdhh7",2,-1,1,1,1,,1
"Η ανάγκη για μια κοινή προσπάθεια, ώστε ο κόσμος μας να γίνει πιο υγιής και ισότιμος με ανάλογες παρεχόμενες υπηρεσίες υγείας, είναι πιο επιτακτική από ποτέ.
#WorldHealthDay",1,0,0,1,0,,0
"Επιχείρηση τρομοκράτησης των Ελλήνων ώστε να αποδεχτούν ότι θέλουν οι Μογγόλοι.Βερεμης:Τουρκική εισβολή στο Καστελόριζο στο αμέσως επόμενο χρονικό διάστημα, σφαγή ελλήνων και αιχμαλωσία των κατοίκων σε στρατόπεδα συγκέντρωσης! Πόσο βρώμικος είναι αυτός ο πόλεμος; @ellinikilisi https://t.co/IXvVrhquB5",2,-1,-1,-1,-1,,-1
Λίγο μετά τις 11:00 μιλάμε για κορονοιο εθνικά θέματα και αποκαλύψεις για την συγκυβέρνηση ΝΔ ΣΥΡΙΖΑ κιναλ. @ellinikilisi https://t.co/0CSyuwGPxR,0,0,0,0,0,,0
"Καλημέρα, στις 11:30΄ στο ρ/σ @thema_radio συζητάμε με τον Μπ. Κούτρα και @felnicos 
➡https://t.co/7Sp1wJjmug https://t.co/0OnnakMT51",0,0,0,0,0,,0
Τσι-Μενδώνη. Υπουργός «πολιτισμού» της @neademokratia https://t.co/aG6yzE34SV,2,0,-1,0,0,,0
Μόνο ντροπή...Βαρέλι δίχως πάτο. https://t.co/ReUT029a3z,2,-1,-1,-1,-1,,-1
"Είμαστε όλοι πραγματικά συγκλονισμένοι από το τραγικό δυστύχημα στην είσοδο της Βουλής που στοίχισε τη ζωή στον 23χρονο Ιάσωνα. Ένα τραγικό γεγονός, το οποίο όμως δε χώρα ούτε μικροπολιτική ούτε μικροκομματική εκμετάλλευση ούτε τακτικισμούς. 
@ertofficial_ https://t.co/uPUF62sdJ9",3,1,-1,-1,-1,,-1
"Οι κεντρικές τράπεζες έχουν αυτοπαγιδευτεί, τροφοδοτώντας παράλληλα επικίνδυνες φούσκες και διαστρεβλώσεις @ellinikilisi 
Η χρηματοπιστωτική καταστολή https://t.co/PAXcv51CU1",3,-1,-1,-1,-1,,-1
Καταπέλτης ο Αλιβιζάτος: Εκδηλη η συμπάθεια ΣΥΡΙΖΑ προς την πολιτική βία -Συμπορεύεται με τον Κουφοντίνα | ΕΛΛΑΔΑ | https://t.co/QHsAwH3h69 https://t.co/kAzS7vTQ1m,4,-1,0,-1,-1,,-1
"Είμαστε εδώ, δουλεύουμε για τις τελευταίες λεπτομέρειες, παρακολουθούμε την τροφοδοσία των φαρμακείων, από τα οποία έχουν ήδη διατεθεί 300.000 δωρεάν self-test. @SkaitvGR #Kalimera",0,1,1,0,1,,1
Είναι η 1η  από τις πολλές και σπουδαίες δράσεις που θα αναλάβει ο ΟΦΥΠΕΚΑ το αμέσως επόμενο χρονικό διάστημα.,4,1,1,1,1,,1
Εγώ θεωρώ πως ο Μητσοτάκης είναι πολύ καλύτερος πωλητής παρότι Πρωθυπουργός ΕΥΔΑΠ και Ευαθ πουλιούνται και όλοι σφυρίζουν αδιάφορα. #Βουλη #μητσοτακη_παραιτησου #κυβερνηση_Μητσοτακη,0,-1,-1,-1,-1,,-1
"Καλημέρα και καλό Σαββατοκύριακο. Ευχαριστώ το https://t.co/0ZhgC6ADfe που φιλοξενεί άρθρο μου, σχετικά με την υποβάθμιση του πλαισίου προστασίας των ζώων συντροφιάς.

#kinima_allagis #pasok #me_nadia

https://t.co/VASnLbGG2v",3,0,1,1,1,,1
"Μεγάλη γιορτή σήμερα. Του Αγίου Γεωργίου. Δεν υπάρχει οικογένεοα που να μην έχει Γιώργο η Γεωργία. Από τα βάθη της καρδιάς μου εύχομαι χρόνια πολλά και καλα, με υγεία και δύναμη στους εορτάζοντες! https://t.co/tqK5gnFMdy",1,1,1,1,1,,1
"Στα μνημονιακά χρόνια, οι μειώσεις μισθών και συντάξεων οδηγούν σε ύφεση που μειώνει το ΑΕΠ, με αποτέλεσμα να απαιτούνται μετά νέες μειώσεις μισθών και συντάξεων. Κάτι παρόμοιο συμβαίνει τώρα και στον χώρο της υγείας. 
👀 Δείτε το video απ'τη Βουλή 👉 https://t.co/rdKKGv91ee",2,-1,-1,-1,-1,,-1
"Χθες ολοκληρώθηκαν οι εργασίες καθαρισμού στη Λεωφόρο των Ηρώων στο Πεδίον του Άρεως.Το πρωί, η ίδια κτηνωδία .Μίλησα με 
Περιφερειάρχη Πατούλη.Ηδη συνεργεία καθαρισμού επεμβαίνουν.Απαιτείται φύλαξη. https://t.co/hzcwegn3hA",2,-1,-1,-1,-1,,-1
Στις διευρυμένες συνομιλίες των αντιπροσωπειών Ελλάδας &amp; Αιγύπτου στο Κάιρο - Εxpanded talks between 🇬🇷🇪🇬 delegations in  #Cairo. https://t.co/ySgqQGflP8,2,0,,0,0,,0
Μία απλή έρευνα αλλά και διασταύρωση στο διαδίκτυο μπορεί να αποδείξει το έγκλημα των ανεμογεννητριών. Δεν χρειάζεται πολύ μυαλό! @ellinikilisi https://t.co/8cIE6E0jVx,3,-1,-1,-1,-1,,-1
"Θα μπορούμε πλέον να υλοποιούμε τα έργα που έχει ανάγκη η χώρα μας πιο γρήγορα, πιο οικονομικά, με μεγαλύτερη ευελιξία και με περισσότερη διαφάνεια.
 
#YpoMe #KostasKaramanlis #Ypodomes #megala_erga https://t.co/ipQqiFCVFk",2,1,1,1,1,,1
"Συμμετέχω στην ειδική διαδικτυακή εκδήλωση του @ChathamHouse  με τίτλο ""#Άμυνα και #Ασφάλεια στην #Ανατολική_Μεσόγειο: Η προοπτική της Ελλάδος"". Οι εθνικές θέσεις είναι αδιαπραγμάτευτες, κρυστάλλινες και αδιαμφισβήτητες. @Hellenic_MOD #Ένοπλες_Δυνάμεις #Αμυντική_διπλωματία https://t.co/5zGt7npBDU",2,0,0,1,0,,0
Το Ταμείο Ανάκαμψης έχει οριζόντιες στοχεύσεις όπως τον ψηφιακό &amp;πράσινο μετασχηματισμό καθώς &amp;των ιδιωτικών επενδύσεων. Οι στοχεύσεις αυτές σημαίνουν πολλά για τον τουρισμό και θα βοηθήσουν τις μικρομεσαίες επιχειρήσεις να αναπτυχθούν καλύτερα. @delphi_forum #NextGenerationEU,1,1,1,1,1,,1
"Στις 8.4.2021 είχα καταθέσει Ερώτηση στον Υπουργό Οικονομικών, με την οποία ζητούσα τη στήριξη του κλάδου των γυμναστηρίων.

📍 [Αριθμός Πρωτοκόλλου: 5766 /8.4.2021]

#γυμναστήρια

https://t.co/N0zRHtli1a

https://t.co/9xXLG8y4iD https://t.co/N617dG8YrE",2,0,0,0,0,,0
O #ΣΥΡΙΖΑ-ΠΣ να διευρυνθεί τολμηρά &amp; να ανασυγκροτηθεί αποφασιστικά ως ένα σύγχρονο κόμμα της ριζοσπαστικής Αριστεράς &amp; ταυτόχρονα  ως ο κορμός του ευρύτερου προοδευτικού μετώπου | Από την Προγραμματική Συνδιάσκεψη https://t.co/8kPh9yHf96,2,0,1,1,1,,1
"Κάνω μία πρόταση για το μέλλον και όχι για το παρελθόν. Για το ΠΑΣΟΚ του 21ου αιώνα #Andreas @ApoTis6ERT @ertofficial_ #video⬇️ 
https://t.co/ixh3xXq8BX https://t.co/qrBLeTRDhg",0,1,1,1,1,,1
"Στην Ελληνική Λύση, για εμάς, τα Σκόπια θα είναι Σκόπια, διότι η προπαγάνδα καλά κρατεί στα γήπεδα και συνεχιζεται. Θα δείτε, ότι θα συνεχιστεί μέσω του ποδοσφαίρου η προπαγάνδα των σκοπιανών. @velopky @ellinikilisi  https://t.co/wRtRbaYTG4 https://t.co/gCLRvpX3fU",0,-1,-1,-1,-1,,-1
"Εδώ και πολύ καιρό το @kinimallagis προειδοποιεί ότι η πολιτική όξυνση, ειδικότερα για ζητήματα #τρομοκρατίας, σε συνδυασμό με μια κατάσταση οικονομικής και επιδημιολογικής κρίσης, θα οδηγούσε στο ξέσπασμα βίας και τη δημιουργία ανεξέλεγκτων καταστάσεων. https://t.co/IDJo4InJpT",0,-1,-1,0,-1,,-1
"ΔΕΥΤΕΡΑ 5/7 ΣΤΙΣ 11 Ο @velopky στον @FOCUSFM1036 με αμείλικτα επιχειρήματα ξεμπροστιάζει την #κυβερνηση_Μητσοτακη για τον ωμό εκβιασμό των Ελλήνων, μέσα από τις ΑΝΤΙΣΥΝΤΑΓΜΑΤΙΚΕΣ &amp; ΟΛΟΚΛΗΡΩΤΙΚΕΣ πολιτικές!
https://t.co/UlUEPZ0bVr
2310500676-7 https://t.co/AhPJxUVFZR",2,-1,-1,-1,-1,,-1
"Για να έχουμε σύμμαχο τον πολίτη πρέπει να του εξηγούμε πειστικά γιατί λαμβάνονται κάποια μέτρα για την πανδημία.
Με στοιχεία και τεκμήρια.
Όταν δεν γίνεται αυτό, ο πολίτης αντιδρά.

📍Διαβάστε τη σημερινή μου συνέντευξη στην Εφημερίδα ΜΠΑΜ ➡https://t.co/KjzMLCec08 https://t.co/yvvRsGTMGj",0,-1,0,0,0,,0
Έως και ο ευρωβουλευτής της @neademokratia χαρακτηρίζει το «επιτελικό κράτος» που έχει φτιάξει ο @kmitsotakis https://t.co/VGAjfmEmp4,1,-1,0,-1,-1,,-1
Η ατάκα της Σκόνδρα που «έγραψε» https://t.co/N5LAULzRzo,2,-1,0,0,0,,0
"Σήμερα στην κινητοποίηση ενάντια στις απάνθρωπες  πρακτικές για τον  Κορονοϊό στο Δρομοκαΐτειο, στο Χαϊδάρι. Άνθρωποι κλειδωμένοι σε τμήματα και δωμάτια για να μην κολλήσουν. Άσκηση ψυχολογικής πίεσης στους ψυχολογικά πιεσμένος. Καταστάσεις του 1700. https://t.co/dkkZrP3sWN",2,-1,-1,-1,-1,,-1
@eynikh96 @nikoszeimpekis @ellinikilisi Δεν ξέρετε να διαβάζετε ;Το άρθρο του Guardian έβαλε !Όχι την άποψη του ! Έλεος πια,1,-1,-1,-1,-1,,-1
"✅ Η παρουσία στο @blueskytvgr και την εκπομπή #Παρεμβάσεις

📺 https://t.co/W0VhTFFqhu https://t.co/jAtY8zuoZj",1,0,0,0,0,,0
"4ο....✌️
Ολοκληρώσαμε ένα ακόμα σημαντικό μέρος της Αθλητικής Μεταρρύθμισης, την οποία ξεκινήσαμε τον Νοέμβριο του 2019. 
Υπερψηφίστηκε μόλις το 4ο Ν/Σ  &amp; συνεχίζουμε τις τομές!
Πάμε για το επόμενο με την ίδια, ακούραστη διάθεση φροντίδας &amp; ανάπτυξης της αθλητικής οικογένειας 🇬🇷 https://t.co/s5UjOPRPBv",2,1,1,1,1,,1
"Ακούσαμε τις εντυπώσεις τους από τη διδασκαλία της συγκεκριμένης θεματικής, η οποία συμβάλλει καθοριστικά στην πρόληψη κινδύνων, σε υπεύθυνες επιλογές τους και στη θωράκιση των κοινωνικών τους σχέσεων και της σωματικής και ψυχικής τους υγείας.
@ZettaMakri 
@GikaSissy",2,1,1,0,1,,1
"Πρωινή βόλτα στην αγορά της Καβάλας. 

Με το φίλο μου Γιάννη Χατζηαβραμίδη. Ποιότητα, αγάπη γι’ αυτό που κάνει και καλές τιμές είναι το τρίπτυχο της επιτυχίας του. 

Καλημέρα!

#dikisouepilogi #Καβάλα https://t.co/6g0aG23Wli",3,1,1,1,1,,1
"📌 Τοποθέτηση στη Διαρκή Επιτροπή Κοινωνικών Υποθέσεων,αναφορικά με το σ/ν του Υπ Υγείας
Ως ΜέΡΑ25,είμαστε κριτικοί προς το νομοσχέδιο,καθώς είμαστε αντίθετοι στη λογική του outsourcing, δηλαδή της εξωτερικής ανάθεσης. 
Δείτε το βίντεο με την τοποθέτηση 👉 https://t.co/1P0aRTaexx",1,-1,-1,-1,-1,,-1
"Eίχα τη χαρά να υποδεχτώ στην Αθήνα τον φίλο Υφ. Εξωτερικών για θέματα ΕΕ Juan González-Barba Pera #SEUE. Με την 🇪🇦 μας ενώνουν πολλά. Υπάρχει ισχυρός δεσμός φιλίας, ταύτιση απόψεων &amp; στόχος μας είναι η κοινή πορεία προς ένα καλύτερο ευρωπαϊκό μέλλον. 🇪🇦🇬🇷🇪🇺 @GreeceMFA @MAECgob https://t.co/dvUd7MKEBU",4,1,1,1,1,,1
"📺Αύριο το πρωί λίγο μετά τις 9, θα είμαι φιλοξενούμενος στην εκπομπή του @ANT1TV @Kalimeraellada_ με τον Γιώργο Παπαδάκη. https://t.co/xyKU893C9d",4,0,0,0,0,,0
«Το νομοσχέδιο της Ν. Δημοκρατίας για τα εργασιακά ευνοεί την ασυδοσία και την εκμετάλλευση» https://t.co/O0pEFe5Fq7,0,-1,-1,-1,-1,,-1
"Η χθεσινή συνέντευξη του κ.Τσίπρα επιβεβαίωσε με τον πλέον πανηγυρικό τρόπο την @ellinikilisi &amp;την άποψη της ότι σύντομα θα έχουμε εκλογές &amp; συγκυβέρνηση.
Ο κ.Τσίπρας ούτε λίγο ούτε πολύ είπε ότι συμφωνεί με τη Νέα Δημοκρατία για την προσφυγή στην Χάγη για τα Ελληνοτουρκικά. https://t.co/eizsKQgK4H",2,-1,-1,0,-1,,-1
Σήμερα στο Συμβούλιο Γενικών Υποθέσεων της ΕΕ 🇪🇺 ενόψει της έκτακτης Συνόδου Κορυφής έθεσα το θέμα του κοινού συντονισμού για το ευρωπαϊκό πιστοποιητικό εμβολιασμού που πρότεινε ο @PrimeministerGR. Ενημέρωσα ακόμη για την τουρκική προκλητικότητα &amp; παραβατικότητα στο Αιγαίο. #GAC https://t.co/EsPkSAkMk0,4,1,0,0,0,,0
Η συνάντηση Μητσοτάκη-Ερντογάν είναι ένα θετικό βήμα. Καλύτερα να βρισκόμαστε στο τραπέζι των διαπραγματεύσεων παρά να υπάρχει ένταση στο πεδίο. Η🇬🇷θα συνεχίσει να πιέζει την Τουρκία να σεβαστεί τις αποφάσεις του🇪🇺Συμβουλίου κρατώντας παράλληλα ανοικτό το παράθυρο του διαλόγου. https://t.co/9VkPiSM1PE,3,1,1,1,1,,1
"«Η σημερινή συνάντηση με τον κ. Regling και η εξαιρετικά χρήσιμη συζήτηση που είχαμε επιβεβαιώνει τη συστηματική, παραγωγική και αμοιβαία επωφελή συνεργασία που έχουμε εδραιώσει. Η Ελλάδα αντιμετώπισε την υγειονομική κρίση και τις επιπτώσεις της στην οικονομία και την κοινωνία https://t.co/RBzXimqlnq",4,1,1,1,1,,1
"Στη δύσκολη συγκυρία που βιώνουμε, εύχομαι το Φως της Χριστιανοσύνης να ζεστάνει τις καρδιές και τα σπίτια μας, να μας δώσει δύναμη και αισιοδοξία για τη νέα χρόνια. Χρόνια πολλά και δημιουργικά σε όλους! https://t.co/6TdLCqjops",0,1,1,1,1,,1
"Έχουν το θράσος να προσπαθούν να εξαγοράσουν με #150ευρω τη νέα γενιά που δείχνει εμπιστοσύνη στην επιστήμη, αυτοί που εργαλειοποίησαν την επιστήμη. Αυτοί που ξόδεψαν εκατομμύρια ευρώ στη λίστα Πέτσα, που κατηγόρησαν τους νέους ως ανεύθυνους,",2,-1,-1,-1,-1,,-1
"Εύχομαι από καρδιάς το Άγιο Φως της Ανάστασης να γεμίσει τις ψυχές όλων μας με Αγάπη, Ελπίδα, Δύναμη και Αισιοδοξία!
Καλό Πάσχα με υγεία!
Χρόνια Πολλά σε όλες τις Ελληνίδες &amp; όλους τους Έλληνες, σε κάθε γωνιά της Ελλάδας και του κόσμου.
#Πάσχα2021 https://t.co/Yq36RbYxfl",0,1,1,1,1,,1
"Την ώρα που οι Ένοπλες Δυνάμεις υπερασπίζονται την ανεξαρτησία&amp;την εθνική κυριαρχία της πατρίδας απέναντι στην τουρκική προκλητικότητα, οι αποφάσεις για τις οικονομικές διευθετήσεις του προσωπικού του ΥΕΘΑ, που βασίζονται σε ψηφισμένους νόμους, δεν υλοποιούνται! @ellinikilisi",1,-1,-1,-1,-1,,-1
Για όσους αναρωτιούνται ακόμα γιατί τα αρχαία στον σταθμό Βενιζέλου είναι ένα ΤΕΡΑΣΤΙΟ δώρο για ην Θεσσαλονίκη! Δεν είναι απλοί αρμοί. Είναι αρμοί με βαριά ιστορία που συνδέουν την πόλη με σπουδαία ιστορία και προσωπικότητες οι οποίες πέρασαν από εδώ! https://t.co/cxGMMeGa6q,2,-1,1,1,1,,1
Στην εκκλησία των Αγίων Αναργύρων με τους συναδέλφους Νάντια Γιαννακοπούλου και Δημήτρη Κωνσταντόπουλο απόψε στον Δήμο Αγίων Αναργύρων https://t.co/tcskituZsC,4,0,0,0,0,,0
"Ένα τιμητικό αφιέρωμα/δημοσίευμα για την πρόσφατη ομιλία μου στην ολομέλεια της Βουλής επί του ν/σ του Υπουργείου Ανάπτυξης και Επενδύσεων, φιλοξενεί η ενημερωτική ιστοσελίδα @panhellenicpost. Μπορείτε να το διαβάσετε στον παρακάτω σύνδεσμο:
https://t.co/YC6qfutbkT @malaspinas1",2,0,1,1,1,,1
"Την ώρα της ψήφισης της νέας σύμβασης της #Ελληνικός_Χρυσός με την κυβέρνηση #Μητσοτάκη έχουμε την ανακοίνωση απεργίας των εργαζομένων της, αντίδραση από το γειτονικό Δήμο Βόλβης και καταδίκη από τις περιβαλλοντικές οργανώσεις της Ελλάδας. #αποικία2021 #Βουλή https://t.co/Prub4SYPLx",0,0,0,-1,0,,0
"Σήμερα, στη 1:30 μμ, στο ραδιόφωνο alpha 989, θα συζητήσουμε με τον Βασίλη Σκουρή, για την αξία της Εκεχειρίας, με την ευκαιρία των Ολυμπιακών Αγώνων.",0,0,0,0,0,,0
"Είναι μέγιστη πλάνη για τη χώρα το να λέει ο #Τσιπρας ότι θα κουρέψει το ιδιωτικό χρέος χωρίς να δεσμεύεται ότι θα καταργήσει το ""Σχέδιο Ηρακλής"", που είναι το πρόγραμμα δημιουργίας αγοράς ""κόκκινων δανείων"". Τουλάχιστον η #κυβερνηση_Μητσοτακη είναι ταγμένη εκεί και δεν ψεύδεται.",3,-1,-1,-1,-1,,-1
"Όλος ο παραλογισμός των αποφάσεων του Υπουργείου Παιδείας σε μια ενδεικτική περίπτωση υποψηφίου στις #Πανελλήνιες2021, ο οποίος συγκέντρωσε 20.152 μόρια (!) αλλά δεν περνά στη Σχολή προτίμησής του…
.
#κυβέρνηση_Μητσοτάκη #Κεραμέως #Αρχιτεκτονική
https://t.co/dxMk4YErId",1,-1,-1,-1,-1,,-1
"«Ταμείο Ανάκαμψης - Η κυβέρνηση σπαταλά μια ιστορική ευκαιρία για την κοινωνική και οικονομική ανασύνταξη της χώρας»
📺 Εισήγηση μου στην κοινή συνεδρίαση των αρμόδιων κοινοβουλευτικών επιτροπών
https://t.co/cMkTq53Zwx
#Βουλη #ΤαμειοΑνακαμψης #οικονομια https://t.co/b1L9aJFVfk",2,-1,-1,-1,-1,,-1
"Είχαμε τα δικά μας αναρχοάπλυτα παρακρατικά εγκληματικά στοιχεία, αποκτήσαμε και εισαγόμενα. Η Νέα Δημοκρατία συνεχίζει το έγκλημα δίνοντας ιθαγένεια σε κάθε εγκληματία, σε κάθε παραβατικο, ο οποίος έρχεται στη χώρα""μπάχαλο"" για να δείρει να κλέψει και να σπάσει. @ellinikilisi https://t.co/Ak0XwIwtDZ",2,-1,-1,-1,-1,,-1
"Χατίρια &amp;στην #Ανακύκλωση:Το Υπ.Εσωτερικών χρηματοδοτεί εξοπλισμό 220εκ.€ για Δήμους,χωρίς να έχουν σχεδιασμό ανακύκλωσης.
Τον ίδιο εξοπλισμό όμως υποχρεούνται να παρέχουν δωρεάν σε Δήμους τα Συστήματα Ανακύκλωσης!
Άρα διπλή χρηματοδότηση για εξοπλισμό με φωτογραφικές διατάξεις! https://t.co/0OQ42YTCis",2,1,-1,-1,-1,,-1
"Επίσκεψη στο Κτηματολογικό Γραφείο Δυτικής Ελλάδας, με έδρα την Πάτρα. 
Πρόκειται για το 7ο Κτηματολογικό Γραφείο της χώρας μας, που εξυπηρετεί συναλλαγές πολιτών σχετικά με 550.000 δικαιώματα._

#Αχαΐα #Πάτρα #Κτηματολόγιο https://t.co/HprDpQXuDG",1,0,0,0,0,,0
"Σήμερα στην Κοινοβουλευτική Συνέλευση του @coe συζητήσαμε εκτάκτως τη διαρκώς επιδεινούμενη κατάσταση στην Τουρκία σε ότι αφορά τη δημοκρατία και τα ανθρώπινα δικαιώματα. 
https://t.co/f9TG1LfoFH
#CouncilOfEurope 🇬🇷🇪🇺 https://t.co/jBqF2kempr",0,0,0,0,0,,0
